"id","item.1","item.2","item.3","item.4","item.5","item.6","item.7","item.8","item.9","item.10","item.11","item.12","item.13","item.14","item.15","item.16","item.17","item.18"
1,15.46,11.23,12.61,12.51,19.95,0.37,8.11,9.83,11.42,7.39,11.14,9.31,7.95,9.63,11.88,9.98,10.04,10.01
2,17.04,16.56,13.46,15.43,2,14.66,11.67,12.88,11.2,12.12,12.23,8.84,10.73,9.88,8.53,8.57,9.12,9.94
3,15.56,13.06,6.72,0.65,8.84,2.2,12.32,13.22,11.31,13.64,12.89,9.45,9.78,11.63,11.49,9.23,10.56,10.7
4,15.67,1.12,17.15,13.38,12.04,20.95,9.19,9.04,11.46,10.06,9.79,13.66,14.47,15.41,13.42,13.23,15.58,12.51
5,12.29,21.38,10.95,4.23,12.39,15.42,12.84,11.27,12.36,12.17,12.14,11.98,11.85,10.04,12.89,11.67,12.74,13.41
6,2.16,9.5,17.34,6.81,7.54,11.94,11.22,10.32,12.69,10.77,11.8,8.36,9.93,8.3,8.56,8.41,7.84,9.46
7,11.09,0.9,6.03,16.21,5.35,8.54,11.98,7.54,11.79,10.76,10.01,10.18,8.79,10.5,9.68,10.65,9.84,11.08
8,8.51,14.22,12.25,6.36,6.75,4.33,9.01,10.35,7.21,10.76,10.63,8.88,8.7,9.91,10.4,8.6,10.66,8.69
9,4.93,9.41,0.19,1.56,18.07,17.34,6.83,8.9,8.07,8.27,9.03,11.75,9.57,11.3,12.64,11.84,12.67,12.19
10,16.96,14.55,14.34,2.56,12.88,13.62,7.17,9.39,8.26,8.74,7.33,11.03,10.65,10.19,9.91,10.29,8.04,10.46
11,7.34,14.56,15.53,10.6,18.49,13.47,7.48,8.21,8.64,9.74,7,9.39,8.17,9.64,8.77,8.54,9.33,8.56
12,14.3,16.65,9.99,11.41,5.86,9.83,11.85,11.15,9.95,11.87,10.39,6.69,6.55,6.08,5.05,5.82,5.82,6.59
13,2.5,19.19,5.89,14.68,10.96,18.4,6.9,8.85,8.14,9.82,9.36,13.64,14.51,11.82,13.74,11.43,10.15,13.69
14,11.13,15.72,3.65,5.39,11.14,11.78,10.55,10.98,8.23,10.84,9.26,9.71,11.65,10.68,13.09,11.84,11.13,11.08
15,4.8,18.54,11.92,18.28,17.36,15.1,13.32,13.86,14.54,12.44,11.9,10.58,10.98,10.39,11.19,10.26,9.05,10.45
16,5.46,8.77,16.03,5.91,7.65,9.37,7.17,9.23,9.8,6.69,10.01,9.15,5.97,9.75,7.4,9.85,7.12,8.86
17,10,9.28,9.49,2.31,14.93,1.9,13.73,15.06,12.33,12.56,14.12,10.92,9.97,11.47,11.37,11.29,11.11,10.88
18,1.22,9.29,0.12,16.92,4.71,0.52,7.26,9.23,8.79,9.68,10.63,6.8,6.47,6.18,7.09,8.04,6.75,8.93
19,9.44,7.37,11.43,14.77,13.36,11.91,9.32,8.82,9.73,9.56,9.41,10.6,11.24,9.72,9.38,12.1,11.76,10.39
20,2.86,1.03,16.45,0.67,20.54,13.17,11.32,10.96,11.51,10.68,11.1,8.04,6.89,8.2,7.62,6.63,5.18,9.39
21,1.67,2.34,6.58,12.88,14.58,1.99,13.16,12.31,13.43,12.54,12.71,11.49,10.08,11.92,12.16,10.68,11.22,13.36
22,7.44,11.9,17.86,2.92,16.18,10.15,5.39,7.09,5.55,4.61,5.21,11.76,14.64,10.72,12,10.88,11.68,12.66
23,2.17,0.04,11.57,4.9,20.42,17.92,11.42,10.94,10.69,9.15,9.97,6.45,8.02,6.81,7.86,6.62,7.14,5.57
24,9.69,10.87,1.39,0.77,17.71,3.06,7.73,6.17,6.68,7.81,6.34,8.78,8.68,10.91,7.6,9.73,9.34,11.7
25,5.06,10.41,11.38,11.56,13.52,8.82,10.24,8.12,10.08,8.01,7.44,7.08,5.81,7.12,8.37,7.64,6.78,8.15
26,12.19,9.02,2.79,9.69,1.58,5.95,8.63,10.27,8.93,8.89,10.21,9.71,12.31,11.94,12.95,11.76,11.78,11.95
