"Timestamp" "fluiten" "frequentie" "assertief" "sekse" "leeftijd"
"05/10/2017 16:56:01" "0" 3 3 "1" 40
"12/10/2017 09:50:53" "1" 0 1 "1" 23
"12/10/2017 09:50:55" "0" 1 4 "1" 27
"12/10/2017 09:50:57" "0" 2 4 "1" 21
"12/10/2017 09:51:06" "1" 0 1 "2" 19
"12/10/2017 09:51:10" "0" 0 1 "2" 20
"12/10/2017 09:51:11" "0" 50 4 "2" 20
"12/10/2017 09:51:12" "1" 0 4 "2" 21
"12/10/2017 09:51:13" "0" 7 3 "1" 20
"12/10/2017 09:51:15" "0" 5 5 "2" 21
"12/10/2017 09:51:18" "1" 0 3 "2" 20
"12/10/2017 09:51:19" "1" 0 3 "2" 19
"12/10/2017 09:51:19" "0" 17 3 "1" 19
"12/10/2017 09:51:20" "1" 0 2 "2" 19
"12/10/2017 09:51:22" "0" 10 3 "1" 26
"12/10/2017 09:51:22" "0" 38 2 "2" 19
"12/10/2017 09:51:23" "0" 0 4 "1" 23
"12/10/2017 09:51:24" "0" 0 3 "2" 21
"12/10/2017 09:51:25" "0" 5 5 "1" 22
"12/10/2017 09:51:26" "0" 5 4 "2" 20
"12/10/2017 09:51:26" "0" 30 3 "1" 19
"12/10/2017 09:51:26" "0" 0 3 "2" 19
"12/10/2017 09:51:27" "0" 20 3 "1" 21
"12/10/2017 09:51:28" "1" 0 4 "2" 20
"12/10/2017 09:51:28" "0" 1 4 "2" 20
"12/10/2017 09:51:30" "0" 2 4 "2" 19
"12/10/2017 09:51:30" "0" 0 2 "2" 21
"12/10/2017 09:51:33" "1" 0 4 "2" 22
"12/10/2017 09:51:34" "0" 8 5 "2" 21
"12/10/2017 09:51:34" "0" 150 4 "1" 20
"12/10/2017 09:51:35" "0" 3 4 "1" 20
"12/10/2017 09:51:40" "0" 2 3 "2" 10
"12/10/2017 09:51:42" "1" 0 5 "2" 23
"12/10/2017 09:51:42" "1" 1 3 "2" 18
"12/10/2017 09:51:43" "0" 5 4 "2" 19
"12/10/2017 09:51:44" "0" 4 4 "2" 25
"12/10/2017 09:51:44" "0" 3 3 "2" 20
"12/10/2017 09:51:46" "0" 0 4 "2" 20
"12/10/2017 09:51:47" "0" 90 4 "1" 25
"12/10/2017 09:51:47" "0" 1 3 "2" 20
"12/10/2017 09:51:49" "1" 0 4 "2" 26
"12/10/2017 09:51:49" "0" 2 3 "2" 20
"12/10/2017 09:51:50" "0" 15 3 "2" 19
"12/10/2017 09:51:52" "0" 25 5 "2" 20
"12/10/2017 09:51:54" "1" 0 4 "2" 20
"12/10/2017 09:51:55" "0" 2 4 "2" 20
"12/10/2017 09:51:57" "0" 1 4 "2" 19
"12/10/2017 09:52:00" "0" 2 4 "2" 20
"12/10/2017 09:52:00" "0" 90 4 "1" 23
"12/10/2017 09:52:04" "0" 200 5 "1" 26
"12/10/2017 09:52:06" "0" 1 3 "2" 19
"12/10/2017 09:52:07" "0" 8 3 "1" 19
"12/10/2017 09:52:08" "1" 0 4 "2" 19
"12/10/2017 09:52:10" "0" 0 3 "2" 31
"12/10/2017 09:52:24" "0" 60 3 "1" 21
"12/10/2017 09:52:35" "0" 5 3 "2" 19
"16/10/2019 15:10:56" "1" 0 4 "2" 20
"16/10/2019 15:32:03" "1" 2 4 "1" 25
"16/10/2019 20:06:59" "0" 25 4 "1" 24
"18/10/2019 11:29:38" "0" 1 4 "2" 19
"18/10/2019 11:47:38" "0" 9 4 "1" 19
"18/10/2019 11:47:39" "0" 1 3 "2" 19
"18/10/2019 11:47:52" "0" 25 3 "2" 19
"18/10/2019 11:47:58" "0" 5 5 "2" 19
"18/10/2019 11:48:02" "1" 0 4 "2" 19
"18/10/2019 11:48:03" "0" 5 3 "2" 19
"18/10/2019 11:48:04" "0" 1 3 "2" 21
"18/10/2019 11:48:04" "1" 2 4 "2" 21
