"cijfers" "IQ" "betrouwbaar"
9.63 103.47 23.95
5.77 100.68 22.92
5.29 100.72 23.95
4.68 101.59 23.61
4.3 100.5 24.71
4.22 101.09 23.02
3.25 101.5 23.89
4.87 102.06 23.88
5.86 102.28 24.34
5.63 101.41 24.33
6.23 101.75 23.69
6.44 102.43 24.05
7.26 101.09 22.99
6.48 102.58 24.37
6.81 103.37 23.67
6.73 101.29 24.91
5.61 102.73 24.14
6.32 103.45 23.44
7.77 102.94 24.83
7.72 102.11 22.78
5.21 101.71 24.03
7.22 101.23 23.02
2.23 100.82 23.55
1.93 101.54 24.09
4.76 100.76 23.33
6.14 102.98 24.14
5.91 101.6 24.28
4.99 102.05 23.69
6.7 100.4 24.2
6.35 101.13 24.44
7.39 102.73 22.93
7.26 101.51 23.78
8.36 103.1 23.46
5.76 101.95 23.99
5.46 102.23 24.02
6.52 101.54 24.14
6.89 102.37 23.58
6.82 103.25 22.67
6.54 102.32 23.73
4.53 100.83 23.92
8.21 103.04 23.16
7.4 102.94 23.88
6.23 101.97 23.57
4.68 100.46 24.4
6.79 102.17 24.11
5.24 101.11 24.85
6.89 101.64 24.11
5.9 102.08 23.53
6.73 102.13 23.66
4.82 100.51 22.35
