"grade" "IQ" "motivation"
5.25 100.79 23.25
8.14 102.18 24.08
7.44 101.61 24.08
7.08 102.59 24.14
5.22 101.58 23.91
5.9 101.09 23.96
1.98 101.23 24.29
7.39 101.76 24.97
6.83 103.16 24.31
9.5 101.54 22.31
5.9 101.64 23.09
9.76 101.66 23.64
4.48 101.74 24.25
2.12 100.88 24.86
7.08 101.46 22.58
7.74 103.24 23.94
3.27 101.86 23.66
5.34 100.94 22.95
2.72 99.96 23.48
3.98 101.83 23.86
6.87 102.04 23.18
8.81 103.67 24.55
10.02 103.4 24.29
5.8 101.21 23.49
6.24 102.93 23.54
4.39 101.09 22.82
8.03 102.75 24.44
8.44 103.87 23.04
6.72 101.44 22.55
4.78 101.61 23.14
5.87 102.04 22.91
8.04 102.79 23.94
6.93 101.8 24.27
8.16 102.91 24.55
4.37 101.6 23.87
7.34 101.65 22.79
6.86 102.58 23.61
4.36 102.21 23.58
6.56 101.55 23.61
4.59 100.9 24.04
2.85 100.62 24.24
5.78 102.15 24.33
3.95 101.5 24.93
5.08 100.76 23.47
6.53 100.98 23.41
6.78 102.57 24.55
5.02 101.66 24.16
6.66 101.52 23.44
5.84 101.13 23.48
5.68 101.92 25.25
