"cijfers" "IQ"
5.75 151.13
7.61 120.42
7.26 131.77
3.43 98.32
6.95 124.57
6.16 115.57
5.37 117.38
5.96 122.13
3.04 110.83
6.03 114.28
7.73 145.2
6.29 121.28
7.54 113.9
5.83 119.86
6.55 125.9
7.36 127.67
4.02 122.19
4.42 135.11
6.27 129.24
5.44 129.9
7.24 123.98
5.68 104.76
5.83 122.55
7.34 126.22
5.78 114.8
7.14 121.72
6.82 130.97
6.08 117.56
5.76 109.85
5.38 91.86
4.01 123.67
7.53 132.48
4.98 106.76
6.12 149.08
6.83 131.11
5.01 126.89
5.05 115.87
6.99 108.71
6.41 134.31
6.44 121.13
3.94 130.68
7.04 130.19
8.66 140.1
7.22 138.86
4.32 87.56
8.39 124.83
4.48 124.54
4.82 124.5
4.43 85.46
6.94 137.08
4.73 113.47
5.3 114.4
4.79 130.42
7.18 107.21
4.76 123
5.87 139.19
4.31 124.8
4.74 104.53
6.55 122.39
5.1 120.11
6.17 132.04
4.43 106.55
5.25 106.13
4.54 89.76
6.76 131.46
4.27 87.9
5.23 121.03
5.25 111.88
7.65 125.79
4.74 117.49
5.95 125.26
6.49 113.43
5.71 121.98
4.66 100.91
4.1 104.72
6.61 109.67
9.46 165.94
3.96 112.55
7.07 122.77
6.15 135.98
4.36 110.21
3.58 125.38
7.88 129.83
3.08 115.63
5.39 87.7
5.89 128.43
5.4 131.91
5.63 117.87
3.65 100.16
6.82 122.97
5.3 120.99
6.5 126.9
7.86 129.39
5.18 132.59
5.34 130.49
8.82 146.18
5.3 105.41
5.95 103.02
6.15 133.17
6.36 127.16
7 130.02
5.78 117.1
7.04 125.72
5.8 127.53
6.18 112.3
6.61 140.24
5.14 141.85
5.69 123.67
6.83 111.57
6.03 129.48
4.33 114.48
6.66 112.23
7.22 148.04
5.64 98.99
3.54 110.31
4.84 104.41
6.43 119.08
5.33 124.83
7.29 122.95
6.02 126.81
5.09 115.58
5.65 122.99
6.75 151.37
