"Timestamp" "IQ" "cijfers" "betrouwbaar"
"12/11/2014 17:08:47" 120 6 80
"13/11/2014 09:09:01" 119 8.5 100
"13/11/2014 09:09:02" 115 9.1 40
"13/11/2014 09:09:04" 140 7 90
"13/11/2014 09:09:05" 135 9 100
"13/11/2014 09:08:57" 139 8.5 100
"13/11/2014 09:09:11" 130 7 76
"13/11/2014 09:09:12" 125 6.5 90
"13/11/2014 09:09:12" 135 8 80
"13/11/2014 09:09:13" 120 7.3 60
"13/11/2014 09:09:13" 138 7.2 80
"13/11/2014 09:09:15" 120 8 50
"13/11/2014 09:09:15" 108 5 70
"13/11/2014 09:09:15" 125 9.2 80
"13/11/2014 09:09:15" 107 6 70
"13/11/2014 09:09:19" 130 8.1 90
"13/11/2014 09:09:20" 131 0 80
"13/11/2014 09:09:21" 115 8.3 80
"13/11/2014 09:09:21" 140 9 100
"13/11/2014 09:09:22" 129 7.8 90
"13/11/2014 09:09:24" 119 6.1 90
"13/11/2014 09:09:24" 115 5.8 50
"13/11/2014 09:09:25" 128 6.7 85
"13/11/2014 09:09:27" 130 7.1 80
"13/11/2014 09:09:29" 120 8 60
"13/11/2014 09:09:29" 120 6.7 80
"13/11/2014 09:09:29" 125 7.7 65
"13/11/2014 09:09:32" 110 7.7 70
"13/11/2014 09:09:34" 132 6.3 80
"13/11/2014 09:09:35" 120 6.2 60
"13/11/2014 09:09:35" 125 8 80
"13/11/2014 09:09:36" 130 5.6 90
"13/11/2014 09:09:38" 117 5.8 60
"13/11/2014 09:09:41" 158 7.4 60
"13/11/2014 09:09:42" 133 6.5 73
"13/11/2014 09:09:42" 120 6 90
"13/11/2014 09:09:43" 125 7.4 70
"13/11/2014 09:09:43" 131 7 90
"13/11/2014 09:09:45" 132 8.9 80
"13/11/2014 09:09:46" 121 7.1 80
"13/11/2014 09:09:46" 124 6.8 0.6
"13/11/2014 09:09:46" 120 6.9 80
"13/11/2014 09:09:48" 120 7.7 87
"13/11/2014 09:09:48" 120 7.4 60
"13/11/2014 09:09:49" 120 5 70
"13/11/2014 09:09:50" 120 5.9 89
"13/11/2014 09:09:52" 118 7.2 80
"13/11/2014 09:09:52" 124 6.9 80
"13/11/2014 09:09:53" 120 5.8 80
"13/11/2014 09:09:56" 120 7.8 80
"13/11/2014 09:09:56" 120 7 72
"13/11/2014 09:09:58" 120 7 75
"13/11/2014 09:10:00" 120 6.8 80
"13/11/2014 09:10:03" 125 6.1 74
"13/11/2014 09:10:03" 125 7.2 80
"13/11/2014 09:10:04" 120 5.3 60
"13/11/2014 09:10:05" 124 6.8 60
"13/11/2014 09:10:06" 110 7.9 75
"13/11/2014 09:10:07" 121 6.4 80
"13/11/2014 09:10:07" 125 8.5 100
"13/11/2014 09:10:09" 115 7.3 70
"13/11/2014 09:10:11" 120 6.9 90
"13/11/2014 09:10:12" 120 7 90
"13/11/2014 09:10:18" 115 8.7 75
"13/11/2014 09:10:18" 120 7 80
"13/11/2014 09:10:18" 120 6 99
"13/11/2014 09:10:18" 105 5.3 80
"13/11/2014 09:10:19" 115 5.5 55
"13/11/2014 09:10:22" 120 7.1 75
"13/11/2014 09:10:22" 116 79 85
"13/11/2014 09:10:24" 115 7.3 80
"13/11/2014 09:10:26" 120 7.7 70
"13/11/2014 09:10:32" 115 5.2 50
"14/11/2014 13:37:46" 125 4.5 80
